slate_date,frozen_identity,matched_result_identity,join_count,frozen_player,official_player,join_decision
2026-07-29,2026-07-29|823924|663656|Total Bases|1.5,823924|663656,1,Kyle Tucker,Kyle Tucker,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823924|663728|Total Bases|1.5,823924|663728,1,Cal Raleigh,Cal Raleigh,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823924|668227|Total Bases|1.5,823924|668227,1,Randy Arozarena,Randy Arozarena,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823924|669242|Total Bases|1.5,823924|669242,1,Tommy Edman,Tommy Edman,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823924|670042|Total Bases|1.5,823924|670042,1,Luke Raley,Luke Raley,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823924|677594|Total Bases|1.5,823924|677594,1,Julio Rodríguez,Julio Rodríguez,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823924|681624|Total Bases|1.5,823924|681624,1,Andy Pages,Andy Pages,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823924|686527|Total Bases|1.5,823924|686527,1,Dominic Canzone,Dominic Canzone,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823924|687221|Total Bases|1.5,823924|687221,1,Dalton Rushing,Dalton Rushing,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823924|702284|Total Bases|1.5,823924|702284,1,Cole Young,Cole Young,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|824002|514888|Total Bases|1.5,824002|514888,1,Jose Altuve,Jose Altuve,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|824002|545361|Total Bases|1.5,824002|545361,1,Mike Trout,Mike Trout,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|824002|572233|Total Bases|1.5,824002|572233,1,Christian Walker,Christian Walker,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|824002|624585|Total Bases|1.5,824002|624585,1,Jorge Soler,Jorge Soler,NO_ACTION_ZERO_PA
2026-07-29,2026-07-29|824002|665161|Total Bases|1.5,824002|665161,1,Jeremy Peña,Jeremy Peña,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|824002|666139|Total Bases|1.5,824002|666139,1,Josh Lowe,Josh Lowe,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|824002|666176|Total Bases|1.5,824002|666176,1,Jo Adell,Jo Adell,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|824002|666211|Total Bases|1.5,824002|666211,1,Taylor Trammell,Taylor Trammell,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|824002|670541|Total Bases|1.5,824002|670541,1,Yordan Alvarez,Yordan Alvarez,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|824002|670623|Total Bases|1.5,824002|670623,1,Isaac Paredes,Isaac Paredes,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|824002|673237|Total Bases|1.5,824002|673237,1,Yainer Diaz,Yainer Diaz,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|824002|687093|Total Bases|1.5,824002|687093,1,Vaughn Grissom,Vaughn Grissom,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|824002|687263|Total Bases|1.5,824002|687263,1,Zach Neto,Zach Neto,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|824002|694203|Total Bases|1.5,824002|694203,1,Denzer Guzman,Denzer Guzman,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|824002|694384|Total Bases|1.5,824002|694384,1,Nolan Schanuel,Nolan Schanuel,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|824002|701358|Total Bases|1.5,824002|701358,1,Cam Smith,Cam Smith,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|824002|828599|Total Bases|1.5,824002|828599,1,Lucas Spence,Lucas Spence,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|824242|595879|Total Bases|1.5,824242|595879,1,Javier Báez,Javier Báez,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|824242|621493|Total Bases|1.5,824242|621493,1,Taylor Ward,Taylor Ward,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|824242|624413|Total Bases|1.5,824242|624413,1,Pete Alonso,Pete Alonso,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|824242|641933|Total Bases|1.5,824242|641933,1,Tyler O'Neill,Tyler O'Neill,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|824242|650402|Total Bases|1.5,824242|650402,1,Gleyber Torres,Gleyber Torres,EXACT_ONE_TO_ONE_MATCH
