scope_type,scope,games,mean_raw_forecast,mean_actual_total,mean_run_residual,median_run_residual,mae,rmse
DATE,2026-04-05,16,8.680112010835261,9.6875,1.0073879891647377,1.850405049602922,4.5220510325748915,5.217354342376185
DATE,2026-04-06,13,8.731178484850298,9.076923076923077,0.34574459207277886,0.9044305236324117,4.024047312865848,4.531845847012709
DATE,2026-04-07,15,8.727582984716474,7.133333333333334,-1.5942496513831406,-2.1110774178345295,2.6060293110576436,3.068313366844375
DATE,2026-04-08,15,8.770640290019676,8.266666666666667,-0.5039736233530088,-0.2840352880734347,2.3241034135020295,2.873246111077568
DATE,2026-04-09,6,8.380272362656145,5.666666666666667,-2.713605695989477,-2.408869152217556,3.707040562608159,4.709594770859185
DATE,2026-04-10,15,8.2527263464232,8.666666666666666,0.4139403202434661,0.3832286779524807,4.1121113684787565,4.868456140842378
DATE,2026-04-11,15,8.421089497791735,8.933333333333334,0.5122438355415998,-0.13725144012435386,2.9753144096815536,3.9711049429554786
DATE,2026-04-12,15,8.297149537117411,9.8,1.5028504628825883,1.1662160719655592,3.0280121142892784,3.8859725028666983
DATE,2026-04-13,10,8.682143363646764,14.4,5.717856636353234,6.797359919158172,6.95662203408192,8.138787930765453
DATE,2026-04-14,15,8.360850257782342,8.333333333333334,-0.02751692444900821,-0.7561781169408786,4.091314746685852,4.6257733489618875
DATE,2026-04-15,15,8.409606147206643,8.933333333333334,0.5237271861266877,0.9006383243203242,3.453806118704745,3.981792014354105
DATE,2026-04-16,10,8.31527370520779,9.6,1.2847262947922105,-0.8960544312945267,4.605743644845161,5.458986308170765
DATE,2026-04-17,15,8.704317474506281,8.8,0.09568252549371899,-0.20662596099443675,3.259532244556574,4.1361033933104
DATE,2026-04-18,15,8.827374012225539,9.133333333333333,0.3059593211077953,-1.0879517238428917,3.421915061418838,4.001915291402696
DATE,2026-04-19,15,8.714369119840695,8.6,-0.11436911984069577,-0.8309061193787777,2.928882754469758,3.4839693344421407
DATE,2026-04-20,10,8.68636356409674,10.3,1.613636435903262,2.5337900809606584,2.7782796958124507,3.1169579477608997
DATE,2026-04-21,15,8.322777540474645,9.6,1.2772224595253525,0.1164967541553219,4.334929507380761,5.254348080440566
DATE,2026-04-22,15,8.498763503639488,8.733333333333333,0.2345698296938466,0.7349429562836178,3.5235256378427726,4.225170907649692
DATE,2026-04-23,9,8.59011368368358,10.0,1.4098863163164193,0.024237734167485314,4.09641272496204,5.325654207370583
DATE,2026-04-24,14,8.185829519035876,10.285714285714286,2.0998847666784086,1.1763239575987083,3.136694589320978,4.1083638492472785
DATE,2026-04-25,14,8.425953884601357,11.428571428571429,3.0026175439700724,1.5920313509216961,3.4512927525643415,4.965413478122263
DATE,2026-04-26,16,8.307911337024395,7.9375,-0.370411337024394,-2.0569712122813573,3.681435584195737,4.596086661055408
DATE,2026-04-27,8,8.193480114942995,9.625,1.4315198850570048,-0.4685409538546703,4.134816800816427,4.775033574824708
DATE,2026-04-28,15,8.233117919590379,7.666666666666667,-0.5664512529237122,-0.9523323266459762,3.348155875981241,4.477409053439463
DATE,2026-04-29,13,8.33053039525434,8.076923076923077,-0.253607318331265,-0.6496928482218145,2.844748955704409,3.719412197861233
DATE,2026-04-30,11,8.422736728580766,10.636363636363637,2.2136269077828703,1.4724662470118446,3.3082629538861736,4.177830563348971
DATE,2026-05-01,15,8.70429208847511,9.333333333333334,0.6290412448582227,1.171739744778142,2.315116687473647,2.7855730329790243
DATE,2026-05-02,15,8.457759674504196,9.0,0.5422403254958045,-1.9709632472220955,4.54676380450472,5.989492897643586
DATE,2026-05-03,15,8.691613542772302,7.4,-1.291613542772302,-2.0962176091560245,3.393237672935723,3.947598599085057
DATE,2026-05-04,12,8.479023304144258,7.666666666666667,-0.8123566374775911,-0.3113727793410419,2.337004268537766,3.08575902099383
DATE,2026-05-05,13,8.416188389594716,9.461538461538462,1.045350071943746,0.36828477226352163,3.2843931863731886,3.9758592581061247
DATE,2026-05-06,15,8.561188848099864,8.4,-0.16118884809986198,-0.40611671221864043,3.9158763558631606,4.517399709835784
DATE,2026-05-07,10,8.525002507582736,9.6,1.0749974924172652,2.7579231314216006,3.370245989877437,3.55827492381059
DATE,2026-05-08,15,8.243481303936393,7.6,-0.6434813039363945,-1.5650142204285693,3.7886758473967745,4.932931216612693
DATE,2026-05-09,14,8.241618569059845,8.357142857142858,0.11552428808301178,-1.2239546060658082,3.637022547724057,4.416609410614112
DATE,2026-05-10,15,8.145751261361864,6.466666666666667,-1.6790845946951976,-2.400050091584564,2.7715654125038833,3.1853303184401964
DATE,2026-05-11,6,7.908716633746845,7.333333333333333,-0.5753833004135123,-0.8201841067928362,3.9285030161272005,4.1947710394751
DATE,2026-05-12,15,8.42648043278286,8.733333333333333,0.3068529005504725,0.004183593559858423,2.9856771050138065,3.539659574320359
DATE,2026-05-13,15,8.305099237195517,8.2,-0.10509923719551585,-1.2083121328104873,3.2871769540829003,3.7259299090556475
DATE,2026-05-14,11,8.260197497554753,8.818181818181818,0.5579843206270655,0.04091170186378079,2.8079334542225443,3.8032794153281717
DATE,2026-05-15,15,8.57116322860708,8.0,-0.5711632286070798,-2.480056610302009,3.934879733432091,4.84800046834162
DATE,2026-05-16,15,8.500279151403529,8.933333333333334,0.4330541819298046,-0.3011525378023592,3.8123177362273895,4.448851682628778
