feature,population,stage1_frozen_mae_delta,stage3_refit_mae_delta,stage1_frozen_rmse_delta,stage3_refit_rmse_delta,stage1_frozen_crps_delta,stage3_refit_crps_delta,stage1_frozen_brier_delta,stage3_refit_brier_delta,stage1_frozen_log_loss_delta,stage3_refit_log_loss_delta,stage1_frozen_absolute_bias_delta,stage3_refit_actual_minus_forecast_bias_delta,upstream_role_preserved
home_offense,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.0013353416938324258,-0.0026539061768762195,-0.003297757758296882,-0.0031724482844763813,-0.0017741666100374864,-0.002014822278588735,-0.00014851345795074966,-0.0001798011226232521,-0.00043536336454308433,-0.00048600661450970417,-0.01761330380135262,0.005316942962645621,True
home_prevention,PROSPECTIVE_AUG17_28_CLEAN_RAW,-0.0013556272017076765,0.0028620751946015766,-0.0010453212127545797,0.0011863675669721019,-0.001179419500573431,0.000751734530257675,-6.908186360007895e-05,6.751244991262673e-05,-8.595124447741131e-05,0.00014846644700572398,0.008482687358473295,-0.006158343859233917,True
away_offense,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.001765348837466263,0.0024841493970324535,-0.0009165189541793239,0.002276375784303397,7.496257756534064e-05,0.0018689025541971382,3.2768561208040836e-05,0.0002336264413697331,7.335983320633233e-05,0.0005375063231064514,-0.014925278637713701,0.0020217348017759207,True
away_prevention,PROSPECTIVE_AUG17_28_CLEAN_RAW,-0.0040149451995170615,-0.0018438761263492864,-0.0030126750662846646,-0.003972582284050397,-0.0020986622621745887,-0.0025170760865833586,-0.00022659885396700274,-0.0003002395300906735,-0.000480120555140795,-0.0007233913797354274,0.009128493131478288,-0.01579895363138717,True
home_starter_ra9,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.004177970773406425,0.0003969663786165256,0.005170883434605145,0.004649937526602699,0.002768186377327897,0.002327138602775669,0.00023285489823787753,0.00021785553132741553,0.0005947675403251695,0.0005650124893007424,-0.012721249970149284,0.0130662431231518,True
away_starter_ra9,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.003212587930793376,0.001447347976802682,0.0006592372611198272,-0.0003004465514546695,0.0007063566637368623,0.000179246004966771,9.853099270534793e-05,6.771152251947021e-05,0.00017235629995460133,0.00012370920056115065,-0.005370238499557756,0.0026360446341245902,True
home_starter_prior_starts,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.0021690949862809283,0.020304908783216558,0.041224280471245045,0.011864442047402335,0.024700627327836955,0.008410982513408882,0.002852569233229185,0.0007770521064067171,0.006753593986909223,0.0015108030582211551,0.22321982861931267,-0.061026161476791685,True
away_starter_prior_starts,PROSPECTIVE_AUG17_28_CLEAN_RAW,-0.00021711381555178377,0.001077082028892118,0.001977824706227871,0.00028065886240202786,0.0012402329860732308,0.0003194395659926741,0.00016248948299282806,4.240800398633282e-05,0.000421829309963595,0.0001131994851205631,0.01419954540420032,-0.004014367571171518,True
home_expected_outs,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.0025517478837939755,0.009032006934632353,0.007950085348058522,0.007804595884248755,0.004060231928736613,0.0045975669538731445,0.00043883474495598485,0.000455669174397183,0.0011824488258845856,0.0010638806937792733,-0.00013380234922411027,-0.027547941235901596,True
away_expected_outs,PROSPECTIVE_AUG17_28_CLEAN_RAW,-0.0009981557898286475,-0.0042338001036137385,-0.003136981660779803,-0.002622199006041548,-0.0010689911190859824,-0.0013375589424660106,-2.7714590614597023e-05,-0.00010875029542328774,-6.90787839863205e-06,-0.0002664254385057463,-0.004961491353443093,0.010372948645617108,True
home_workload_uncertainty_outs,PROSPECTIVE_AUG17_28_CLEAN_RAW,-0.00463117336669594,-0.006083562315497559,-0.005226106676887277,-0.005640332771183587,-0.00327085051531828,-0.003519084937290806,-0.00037231670305967746,-0.0003802510622178401,-0.0008902876813413618,-0.0009282565858519387,0.004248376911945517,0.016949456733616308,True
away_workload_uncertainty_outs,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.0006959696760260314,0.0006603291795070909,0.0017834023493374929,0.0018659935442988385,0.0010967223686493277,0.001178050689324639,8.769639034031385e-05,0.00010092588090890309,0.0002029691036117276,0.00024001890578062568,-0.00054494720010001,0.0003982311056245358,True
home_bullpen_ra9,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.0026567997971986834,0.0031049734854207145,0.004042050022578181,-0.0017670674630210215,0.0029666729838271344,-0.0009478408753080814,0.00024705557611900963,-0.0001455433321705668,0.0005027533039988485,-0.000374691492523338,0.004126967808174509,-0.02507112329388622,True
